;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
339;1807949,685;1735934,141;1718051,967;1702744,354;1689121,722;1676614,791;1664833,437;1653491,838;1642363,798;1631253,853;1619976,158;1608335,237;1596105,439
340;1810333,881;1742831,745;1724478,997;1708854,362;1695025,459;1682398,022;1670567,724;1659241,608;1648191,949;1637227,081;1626170,453;1614843,471;1603047,651
341;1812716,424;1749895,763;1731040,218;1715072,39;1701014,449;1688245,392;1676345,302;1665012,731;1654017,007;1643168,201;1632296,512;1621236,138;1609809,645
342;1815097,393;1757134,048;1737742,999;1721405,331;1707095,418;1694163,792;1682173,587;1670813,675;1659849;1649089,746;1638370,832;1627535,894;1616423,799
343;1817476,862;1764555,328;1744594,852;1727860,14;1713275,085;1700160,012;1688059,763;1676652,344;1665697,174;1655003,203;1644407,987;1633762,345;1622917,514
344;1819854,907;1772168,31;1751603,442;1734443,86;1719560,184;1706240,77;1694010,831;1682536,417;1671570,332;1660919,027;1650421,216;1639932,68;1629314,185
345;1822231,598;1779981,688;1758776,604;1741163,629;1725957,483;1712412,74;1700033,647;1688473,239;1677476,658;1666846,811;1656422,255;1646062,08;1635634,055
346;1824607,006;1788005,393;1766122,232;1748026,701;1732473,803;1718682,576;1706134,961;1694469,931;1683424,034;1672795,621;1662422,039;1652164,14;1641894,803
347;1826981,199;1796248,332;1773648,881;1755040,466;1739116,033;1725056,937;1712321,444;1700533,438;1689419,986;1678773,98;1668430,513;1658251,049;1648112,031
348;1829354,244;1798976,57;1781364,732;1762212,46;1745891,165;1731542,505;1718599,718;1706670,56;1695471,744;1684789,9;1674456,998;1664334,086;1654299,672
349;1831726,204;1801406,789;1789278,468;1769550,385;1752806,269;1738146,005;1724976,38;1712887,991;1701586,363;1690851,076;1680510,188;1670423,372;1660470,239
350;1834097,143;1803834,45;1797399,043;1777062,138;1759868,555;1744874,224;1731458,026;1719192,35;1707770,703;1696964,887;1686598,299;1676528,484;1666635,125
351;1836467,123;1806259,652;1802130,15;1784755,794;1767085,359;1751734,024;1738051,269;1725590,202;1714031,493;1703138,467;1692729,149;1682658,278;1672804,77
352;1838836,204;1808682,495;1804594,789;1792639,654;1774464,168;1758732,364;1744762,76;1732088,092;1720375,361;1709378,708;1698910,223;1688821,106;1678988,826
353;1841204,444;1811103,074;1807056,424;1800722,24;1782012,632;1765876,31;1751599,204;1738692,556;1726808,864;1715692,416;1705148,732;1695024,9;1685196,294
354;1843571,9;1813521,482;1809515,168;1805456,1;1789738,582;1773173,052;1758567,379;1745410,151;1733338,514;1722086,227;1711451,668;1701277,228;1691435,631
355;1845938,628;1815937,809;1811971,129;1807953,123;1797650,04;1780629,919;1765674,15;1752247,468;1739970,797;1728566,697;1717825,828;1707585,363;1697714,843
